Gender,Author,Last Name Author,First Middle,Filename
f,Kate E. R. Pickard,Pickard,Kate E. R. ,
f,Louisa Picquet,Picquet,Louisa  ,
f,Emily Catharine Pierson,Pierson,Emily Catharine ,
m,S. H. Platt,Platt,S. H. ,
m,Pomp,Pomp,  Pomp,
f,Mary Prince,Prince,Mary ,
m,Peter Randolph,Randolph,Peter ,
m,Edwin Archer Randolph,Randolph,Edwin Archer ,
f,Emma J. Ray,Ray,Emma J. ,
m,Legh Richmond,Richmond,Legh  ,
m,James Roberts,Roberts,James  ,
m,William H. Robinson,Robinson,William H. ,
f,Nina Hill Robinson,Robinson,Nina Hill ,
m,Moses Roper,Roper,Moses  ,
m,Dan. A. Rudd,Rudd,Dan. A. ,
m,Nicholas Said,Said,Nicholas  ,
m,Omar ibn Said,Said,Omar ibn  ,
m,Ignatius Sancho,Sancho,Ignatius  ,
m,Emmett J. Scott,Scott,Emmett J. ,
m,William J. Simmons,Simmons,William J. ,
m,John Hawkins Simpson,Simpson,John Hawkins,
m,William Henry Singleton,Singleton,William Henry ,
m,Thomas Smallwood,Smallwood,Thomas  ,
f,Amanda Smith,"Smith, Amanda",Amanda  Smith,
m,David Smith,Smith,David  ,
m,Harry Smith,Smith,Harry  ,
m,James Lindsay Smith,Smith,James Lindsay ,
m,Stephen Smith,Smith,Stephen  ,
m,Venture Smith,Smith,Venture  ,
m,John Gabriel Stedman,Stedman,John Gabriel ,
m,Charles Emery Stevens,"Stevens, Charles Emery",Charles Emery ,
m,Austin Steward,Steward,Austin  ,
m,D. Augustus Straker,Straker,D. Augustus ,
m,Jacob Stroyer,Stroyer,Jacob  ,
m,Charles Stuart,Stuart,Charles  ,
f,Eliza Suggs,Suggs,Eliza  ,
f,Susie King Taylor,Taylor,Susie King ,
m,James B. Taylor,Taylor,James B. ,
m,B. B. Thatcher,Thatcher,B. B. ,
m,Charles Thompson,"Thompson, Charles",Charles  ,
m,John Thompson,Thompson,John  ,
f,Mary W. Thompson,Thompson,Mary W. ,
f,Matilda G. Thompson,"Thompson, Matilda G.",Matilda G. ,
m,Levin Tilmon,Tilmon,Levin  ,
m,William Troy,Troy,William  ,
f,Sojourner Truth,Truth,Sojourner  ,
m,Okah Tubbee,Tubbee,Omkah  ,
m,Nat Turner,Turner,Nat  ,
m,Mark Twain,Twain,Mark  ,
m,Harper Twelvetrees,Twelvetrees,Harper  ,
f,T. C. Upham,Upham,T. C. ,
m,G. Vale,Vale,G.  ,
f,Bethany Veney,Veney,Bethany  ,
m,Robert Voorhis,Voorhis,Robert  ,
u,E. M. W.,W.,  E. M. W.,
m,William Walker,Walker,William  ,
m,Alexander Walters,Walters,Alexander  ,
m,Samuel Ringgold Ward,Ward,Samuel Ringgold ,
m,Ashton Warner,Warner,Ashton  ,
m,Booker T. Washington,Washington,Booker T. ,
m,James Watkins,Watkins,James  ,
m,Henry Watson,Watson,Henry  ,
m,William Webb,Webb,William  ,
m,Theodore Dwight Weld,Weld,Theodore Dwight ,
f,Phillis Wheatley,Wheatley,Phillis  ,
m,Peter Wheeler,Wheeler,Peter  ,
m,William S. White,"White, William S.",William S. ,
m,George White,"White, William S.",George  ,
m,Major James Wilkerson,Wilkerson,Major James ,
m,James Williams,Williams,James  ,
m,Isaac D. Williams,Williams,Isaac D. ,
m,Isaac Williams,Williams,Isaac  ,
u,No Author,Author,  No Author,
u,No Author Author,Author,  No Author,
u,No Author Author,Author,  No Author,
u,No Author Author,Author,  No Author,
u,No Author Author,Author,  No Author,
u,No Author Author,Author,  No Author,
u,No Author Author,Author,  No Author,
u,No Author Author,Author,  No Author,
u,No Author Author,Author,  No Author,
u,No Author Author,Author,  No Author,
u,No Author Author,Author,  No Author,
u,No Author Author,Author,  No Author,
u,No Author Author,Author,  No Author,
